 ros2 run motor_control_ros2 delta_arm_manager_node

[INFO] [1783232066.814016293] [delta_arm_manager]: 配置加载完成: kp=0.75 kd=0.25 max_vel=10.00 max_accel=50.0 p_gain=25.0 landing_torque=-0.00 gravity_comp=0.800 tilt=[arm_tilt_motor down=1.600]
[INFO] [1783232066.815448319] [delta_arm_manager]: delta_arm_manager 启动，控制频率 200.0 Hz，电机: [arm_delta_motor_1,arm_delta_motor_2, arm_delta_motor_3]
[INFO] [1783232066.815467448] [delta_arm_manager]: 状态：初始化 → 进入软着陆流程
[INFO] [1783232066.818210621] [delta_arm_manager]: 俯仰零点锁定：原始角 0.421 rad，此后 ready=0.000 down=1.600 均为相对角
[INFO] [1783232066.820538786] [delta_arm_manager]: 初始化 → 软着陆：施加向下力矩 -0.00 Nm，阻尼 kd=0.050
[INFO] [1783232066.820586777] [delta_arm_manager]: LANDING_CSV,t,cmd_tq,landing_kd,m1_pos,m1_vel,m2_pos,m2_vel,m3_pos,m3_vel,tilt_pos,tilt_vel
[INFO] [1783232067.320524672] [delta_arm_manager]: LANDING_CSV,0.4999,-0.000,0.050,0.7299,0.000,0.4061,0.000,0.4734,0.000,0.4213,-0.066
[INFO] [1783232067.325578756] [delta_arm_manager]: LANDING_CSV,0.5050,-0.000,0.050,0.7299,0.000,0.4061,0.000,0.4734,0.000,0.4213,-0.066
[INFO] [1783232067.330554366] [delta_arm_manager]: LANDING_CSV,0.5099,-0.000,0.050,0.7299,0.000,0.4061,0.000,0.4734,0.000,0.4213,-0.066
[INFO] [1783232067.335539533] [delta_arm_manager]: LANDING_CSV,0.5149,-0.000,0.050,0.7299,-0.050,0.4061,-0.016,0.4734,-0.047,0.4213,-0.062
[INFO] [1783232067.340512250] [delta_arm_manager]: LANDING_CSV,0.5199,-0.000,0.050,0.7299,-0.050,0.4061,-0.016,0.4734,-0.047,0.4213,-0.062
[INFO] [1783232067.345522568] [delta_arm_manager]: LANDING_CSV,0.5249,-0.000,0.050,0.7299,-0.050,0.4061,-0.016,0.4734,-0.047,0.4213,-0.062
[INFO] [1783232067.350519302] [delta_arm_manager]: LANDING_CSV,0.5299,-0.000,0.050,0.7299,-0.047,0.4061,0.000,0.4734,-0.047,0.4214,-0.019
[INFO] [1783232067.355576918] [delta_arm_manager]: LANDING_CSV,0.5350,-0.000,0.050,0.7299,-0.047,0.4061,0.000,0.4734,-0.047,0.4214,-0.019
[INFO] [1783232067.360712204] [delta_arm_manager]: LANDING_CSV,0.5400,-0.000,0.050,0.7299,-0.047,0.4061,0.000,0.4734,-0.047,0.4214,-0.019
[INFO] [1783232067.365598669] [delta_arm_manager]: LANDING_CSV,0.5449,-0.000,0.050,0.7299,0.050,0.4061,0.000,0.4735,0.047,0.4213,-0.062
[INFO] [1783232067.370550581] [delta_arm_manager]: LANDING_CSV,0.5499,-0.000,0.050,0.7299,0.050,0.4061,0.000,0.4735,0.047,0.4213,-0.062
[INFO] [1783232067.375505329] [delta_arm_manager]: LANDING_CSV,0.5549,-0.000,0.050,0.7299,0.050,0.4061,0.000,0.4735,0.047,0.4213,-0.062
[INFO] [1783232067.380543059] [delta_arm_manager]: LANDING_CSV,0.5599,-0.000,0.050,0.7299,0.000,0.4060,0.000,0.4734,0.008,0.4213,-0.062
[INFO] [1783232067.385527145] [delta_arm_manager]: LANDING_CSV,0.5649,-0.000,0.050,0.7299,0.000,0.4060,0.000,0.4734,0.008,0.4213,-0.062
[INFO] [1783232067.390557498] [delta_arm_manager]: LANDING_CSV,0.5700,-0.000,0.050,0.7299,0.000,0.4060,0.000,0.4734,0.008,0.4213,-0.062
[INFO] [1783232067.395511388] [delta_arm_manager]: LANDING_CSV,0.5749,-0.000,0.050,0.7299,-0.066,0.4061,0.000,0.4734,-0.062,0.4213,-0.047
[INFO] [1783232067.400531616] [delta_arm_manager]: LANDING_CSV,0.5799,-0.000,0.050,0.7299,-0.066,0.4061,0.000,0.4734,-0.062,0.4213,-0.047
[INFO] [1783232067.405557718] [delta_arm_manager]: LANDING_CSV,0.5849,-0.000,0.050,0.7299,-0.066,0.4061,0.000,0.4734,-0.062,0.4213,-0.047
[INFO] [1783232067.410546369] [delta_arm_manager]: LANDING_CSV,0.5899,-0.000,0.050,0.7299,-0.066,0.4061,0.000,0.4734,-0.062,0.4213,-0.047
[INFO] [1783232067.415563258] [delta_arm_manager]: LANDING_CSV,0.5949,-0.000,0.050,0.7299,-0.004,0.4061,0.000,0.4734,-0.058,0.4214,0.050
[INFO] [1783232067.420537410] [delta_arm_manager]: LANDING_CSV,0.5999,-0.000,0.050,0.7299,-0.004,0.4061,0.000,0.4734,-0.058,0.4214,0.050
[INFO] [1783232067.425528416] [delta_arm_manager]: LANDING_CSV,0.6049,-0.000,0.050,0.7299,-0.004,0.4061,0.000,0.4734,-0.058,0.4214,0.050
[INFO] [1783232067.430521287] [delta_arm_manager]: LANDING_CSV,0.6099,-0.000,0.050,0.7299,0.016,0.4061,0.004,0.4734,-0.058,0.4213,-0.054
[INFO] [1783232067.435573193] [delta_arm_manager]: LANDING_CSV,0.6150,-0.000,0.050,0.7299,0.016,0.4061,0.004,0.4734,-0.058,0.4213,-0.054
[INFO] [1783232067.440569460] [delta_arm_manager]: LANDING_CSV,0.6199,-0.000,0.050,0.7299,0.016,0.4061,0.004,0.4734,-0.058,0.4213,-0.054
[INFO] [1783232067.445580308] [delta_arm_manager]: LANDING_CSV,0.6250,-0.000,0.050,0.7299,0.008,0.4061,-0.012,0.4734,-0.058,0.4214,-0.004
[INFO] [1783232067.450554176] [delta_arm_manager]: LANDING_CSV,0.6299,-0.000,0.050,0.7299,0.008,0.4061,-0.012,0.4734,-0.058,0.4214,-0.004
[INFO] [1783232067.455559323] [delta_arm_manager]: LANDING_CSV,0.6350,-0.000,0.050,0.7299,0.008,0.4061,-0.012,0.4734,-0.058,0.4214,-0.004
[INFO] [1783232067.460585738] [delta_arm_manager]: LANDING_CSV,0.6400,-0.000,0.050,0.7299,-0.004,0.4061,0.004,0.4734,0.000,0.4214,0.000
[INFO] [1783232067.465669458] [delta_arm_manager]: LANDING_CSV,0.6451,-0.000,0.050,0.7299,-0.004,0.4061,0.004,0.4734,0.000,0.4214,0.000
[INFO] [1783232067.470650051] [delta_arm_manager]: LANDING_CSV,0.6500,-0.000,0.050,0.7299,-0.004,0.4061,0.004,0.4734,0.000,0.4214,0.000
[INFO] [1783232067.475538421] [delta_arm_manager]: LANDING_CSV,0.6549,-0.000,0.050,0.7299,0.012,0.4060,-0.058,0.4734,-0.039,0.4214,-0.004
[INFO] [1783232067.480533739] [delta_arm_manager]: LANDING_CSV,0.6599,-0.000,0.050,0.7299,0.012,0.4060,-0.058,0.4734,-0.039,0.4214,-0.004
[INFO] [1783232067.485568935] [delta_arm_manager]: LANDING_CSV,0.6649,-0.000,0.050,0.7299,0.012,0.4060,-0.058,0.4734,-0.039,0.4214,-0.004
[INFO] [1783232067.490534385] [delta_arm_manager]: LANDING_CSV,0.6699,-0.000,0.050,0.7299,0.012,0.4060,-0.058,0.4734,-0.039,0.4214,-0.004
[INFO] [1783232067.495535511] [delta_arm_manager]: LANDING_CSV,0.6749,-0.000,0.050,0.7299,0.000,0.4061,0.000,0.4734,-0.062,0.4213,-0.058
[INFO] [1783232067.500561184] [delta_arm_manager]: LANDING_CSV,0.6799,-0.000,0.050,0.7299,0.000,0.4061,0.000,0.4734,-0.062,0.4213,-0.058
